2026-06-01 12:12:12,998 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 12:14:36,669 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 12:14:41,145 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 12:14:41,145 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 13:47:50,352 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 13:47:50,353 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 13:48:15,576 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 13:48:18,958 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 13:48:18,959 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 14:00:32,328 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 14:00:32,328 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 14:00:57,551 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 14:01:00,906 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 14:01:00,906 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 14:01:00,925 | INFO | src.ingestion.complaints.validate_file | Starting dataframe validation
2026-06-01 14:01:00,925 | INFO | src.ingestion.complaints.validate_file | Row Count: 475,786
2026-06-01 14:01:00,925 | INFO | src.ingestion.complaints.validate_file | Column Count: 18
2026-06-01 14:01:00,926 | INFO | src.ingestion.complaints.validate_file | Required columns validation passed
2026-06-01 14:01:00,933 | INFO | src.ingestion.complaints.validate_file | Duplicate Records Found: 0
2026-06-01 14:01:00,934 | INFO | src.ingestion.complaints.validate_file | Null value analysis started
2026-06-01 14:01:00,935 | INFO | src.ingestion.complaints.validate_file | Complaint ID Null Count: 0
2026-06-01 14:01:00,949 | INFO | src.ingestion.complaints.validate_file | Date received Null Count: 0
2026-06-01 14:01:00,962 | INFO | src.ingestion.complaints.validate_file | Product Null Count: 0
2026-06-01 14:01:00,975 | INFO | src.ingestion.complaints.validate_file | Company Null Count: 0
2026-06-01 14:01:00,996 | INFO | src.ingestion.complaints.validate_file | Consumer complaint narrative Null Count: 302,847
2026-06-01 14:01:00,996 | INFO | src.ingestion.complaints.validate_file | Validation completed successfully
2026-06-01 14:46:58,044 | INFO | src.ingestion.complaints.download_cfpb | Starting CFPB download from 2025-01-01 to 2025-01-31
2026-06-01 14:46:58,045 | INFO | src.ingestion.complaints.download_cfpb | Sending request to CFPB API (Attempt 1)
2026-06-01 14:47:24,349 | INFO | src.ingestion.complaints.download_cfpb | API stream received successfully. Parsing content...
2026-06-01 14:47:27,786 | INFO | src.ingestion.complaints.download_cfpb | Retrieved 475786 complaint records
2026-06-01 14:47:27,787 | INFO | src.ingestion.complaints.download_cfpb | CFPB download completed successfully
2026-06-01 14:47:27,802 | INFO | src.ingestion.complaints.validate_file | Starting dataframe validation
2026-06-01 14:47:27,802 | INFO | src.ingestion.complaints.validate_file | Row Count: 475,786
2026-06-01 14:47:27,802 | INFO | src.ingestion.complaints.validate_file | Column Count: 18
2026-06-01 14:47:27,803 | INFO | src.ingestion.complaints.validate_file | Required columns validation passed
2026-06-01 14:47:27,812 | INFO | src.ingestion.complaints.validate_file | Duplicate Records Found: 0
2026-06-01 14:47:27,812 | INFO | src.ingestion.complaints.validate_file | Null value analysis started
2026-06-01 14:47:27,819 | INFO | src.ingestion.complaints.validate_file | Complaint ID Null Count: 0
2026-06-01 14:47:27,832 | INFO | src.ingestion.complaints.validate_file | Date received Null Count: 0
2026-06-01 14:47:27,847 | INFO | src.ingestion.complaints.validate_file | Product Null Count: 0
2026-06-01 14:47:27,860 | INFO | src.ingestion.complaints.validate_file | Company Null Count: 0
2026-06-01 14:47:27,882 | INFO | src.ingestion.complaints.validate_file | Consumer complaint narrative Null Count: 302,847
2026-06-01 14:47:27,883 | INFO | src.ingestion.complaints.validate_file | Validation completed successfully
2026-06-01 14:47:27,883 | INFO | src.ingestion.complaints.upload_to_s3 | Starting S3 upload process
